zpid,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
3931176,-1.6424407,1.0722637,2.605481,0.94143564,-0.054728,0.6293941,0.30966386,-1.1298207,0.20887198,-0.09843031,-0.460759,0.043289326,0.1800134,-0.7244909,0.37538257,-0.050864458,0.016396644,0.31823283,0.46956336,0.36608225,0.17756452,-0.106365405,0.19149733,-0.007839512,-0.08186025,0.061320987,0.3703817,-0.11041199,0.06336912,-0.20115519,-0.08395295,0.279179
4123447,-2.0068228,0.38458934,2.2068865,0.13972382,0.055391688,-0.1027532,-0.10420531,0.42068258,0.035747427,-0.39657554,-0.8250599,-0.19273943,-0.20410344,-0.3618164,-0.093974195,0.35505566,-0.33018592,-0.303175,-0.40419003,-0.12819558,-0.71335316,0.034333408,-0.124209225,0.44806933,-0.09612275,0.119241424,-0.00081782683,0.09380789,-0.102737494,0.23302317,0.041510195,-0.122986786
3826032,-1.2709464,0.7104068,0.647642,-0.3999545,0.10114063,-0.3793161,0.19479415,-0.17939988,0.09732571,0.2175433,-0.5734934,-0.22198665,-0.62204546,-0.57491446,0.34943527,-0.39483333,-0.21947518,-0.16679393,-0.25757167,-0.24847826,0.33367106,0.0019044136,0.2530768,0.101489305,-0.039743207,-0.610741,-0.09532744,0.169154,0.1645505,0.029096955,-0.09449549,-0.007985663
4169371,-2.117161,0.50824213,1.5100034,-0.14459041,0.04192833,0.485365,-0.188635,-0.53451383,0.5472628,0.20579353,-0.57683575,-0.30057576,-0.33014327,-0.023703644,-0.22470103,-0.23847683,-0.20693909,-0.25416285,-0.21364506,-0.26714662,-0.32333547,-0.23386636,0.14189932,0.059601214,0.12079854,0.099929415,-0.14388888,0.16647479,-0.06456451,-0.056320384,0.24410264,-0.24320552
4124807,1.8676554,-0.3601779,-0.09505513,0.23135881,-0.8453737,-0.53695273,0.20779078,-0.16066922,0.20526141,-0.6701683,0.3482297,0.22318844,-0.24124517,0.13100608,-0.29037166,0.13754046,0.16520861,-0.14191857,0.116141975,0.016128363,-0.41651067,0.07417058,0.19635797,0.13731341,-0.18905607,0.19829342,0.06055813,-0.041417062,0.13236965,-0.030663919,-0.14884594,0.2317881
3658705,-0.5510718,-0.90702856,-1.3362722,1.3486179,0.17489341,-0.3386698,-0.15251555,-0.2069756,1.1381128,0.41592526,-0.18156704,-0.13896741,-0.5999268,-0.3259745,0.37636554,0.15271536,0.012310121,-0.3372073,0.06744992,0.2835888,0.06704518,-0.17370042,-0.022476273,-0.276425,0.053865157,0.08963846,-0.26327595,0.08777916,0.03945609,0.13105789,0.114073835,0.033977363
4080615,0.9588693,-1.8431437,0.0854976,0.740362,0.12558429,-0.19933562,0.34703568,0.09881323,-0.23847438,0.05029583,0.037721995,0.13543268,-0.15188774,0.025232146,-0.048496567,0.25046828,0.01923217,0.0820845,0.022568572,0.0019654932,0.14475384,0.15150757,0.039779484,0.22047478,-0.17956522,0.106549405,0.19430345,-0.06330923,-0.21394306,-0.17881103,-0.12896532,0.2333474
87726428,0.6505087,0.5587278,-1.3987814,1.159334,0.15170878,-0.38408855,0.5513682,-0.33127683,-0.36704156,-0.4419654,-0.48218724,0.22220041,0.6229533,-0.1757915,0.008581153,-0.46749908,0.40939227,-0.21199761,-0.09875861,-0.17408735,-0.33467868,0.08812319,-0.02450375,0.42330265,0.02475369,0.30843917,0.2856553,-0.34815493,-0.18348552,0.08461399,-0.18584312,-0.08681295
4138814,-0.12743272,-1.0675151,-0.77525723,-0.49632162,-0.4627792,-0.0058664293,0.28430825,-0.12745927,0.13231465,0.58985937,-0.22950763,-0.33495137,-0.073583975,-0.052383155,-0.09131014,0.28266236,0.06598931,0.063716374,0.38040352,-0.035222195,0.01576324,-0.019593595,0.47086227,-0.044952605,0.06943651,-0.08305796,0.13854486,-0.106850535,0.046467733,-0.12560451,0.064829916,-0.07039007
4121793,-0.3085173,0.23480469,-0.51679355,0.3198073,0.29788512,-0.026531566,0.43454313,0.18541537,-0.030057287,-0.08290182,-0.44232357,0.07201289,-0.17907439,-0.083018675,-0.084303305,0.23025545,0.26583084,-0.20317961,-0.36198083,0.20094927,-0.16473268,-0.003238681,-0.06645423,-0.15000135,-0.18823802,0.19240439,-0.03393197,0.18977928,0.07609426,0.046398718,-0.031065043,-0.15478258
4118228,-0.6288335,0.17125139,-1.211022,-0.35085616,-1.2273433,-0.070164956,0.23527056,-0.069298856,0.0028628418,0.11028748,0.05171426,-0.20835929,0.08383368,-0.27514437,0.34124863,0.16766356,0.3898902,0.20097208,0.024719654,-0.17160818,-0.04504899,-0.06341274,0.24728127,0.13281153,0.051365584,0.09023818,-0.17614402,-0.4719667,0.09192297,-0.18050176,-0.06277513,0.025618773
4014333,-1.88286,0.7635787,0.42575872,-0.42932823,-0.022573667,0.6027643,0.02833813,0.18921761,0.86877924,0.28924182,0.054388784,-0.17739917,0.01942759,-0.29457593,-0.40592164,-0.056916084,0.022904173,-0.56332475,-0.74900377,-0.8280617,-0.5663704,-0.06940638,0.45562035,0.20252658,-0.38073632,-0.030391911,0.35919702,-0.19285151,-0.26076612,-0.2584472,-0.00048377234,-0.5716688
4002438,-0.65827054,-0.5392362,0.7479736,-0.27369264,0.18805136,0.29627645,-0.1565874,-0.08730154,-0.15990163,0.7227062,0.07969645,0.2903294,0.14190419,-0.7000246,-0.17185268,0.16929871,0.17115386,-0.30423087,-0.2768468,-0.4782551,0.055579465,0.028910993,-0.19608489,0.2568667,-0.38588116,-0.14892448,0.4206488,-0.038499095,-0.17094539,0.29731408,0.096532874,0.0006455446
3601403,-1.2548743,-1.492438,-0.81219447,0.111114964,0.032851923,-0.36402985,-0.2760107,-0.25593817,0.25163874,-0.26883543,0.22034368,-0.11563351,-0.5085853,-0.11294338,-0.011160473,-0.29815787,0.06362444,-0.05450813,-0.31606206,0.061929666,-0.016324155,-0.1988012,-0.26737154,0.02190718,-0.019438563,0.044770792,-0.14558122,-0.070988074,0.18117876,0.080592915,-0.0069586914,0.15213485
3641499,-2.018359,0.018451154,0.015771585,-0.46759495,0.26511568,-0.8095421,-0.7823078,0.19913854,-0.28825125,0.3799629,-0.012200512,0.07382671,-0.44826767,0.14599825,0.50147843,-0.043470938,-0.2891192,0.47836977,0.10799946,-0.48675576,0.21796265,-0.3493638,-0.39516437,0.120749846,-0.1639956,-0.2190072,-0.11063775,-0.2112607,-0.2156464,0.22858146,-0.07479373,-0.20194438
3826348,-2.6574814,-1.048518,-0.63904417,-0.44836715,-0.074075714,-1.5161575,-0.17275041,0.36250338,-0.103015915,-0.9180286,0.08015498,1.4657358,0.41661197,-0.46060422,-0.42292556,-0.2546143,-0.7768405,0.64340323,0.2817388,-0.38244343,0.4424659,-0.6501812,-0.04618749,0.20049863,-0.4855598,-0.41981432,-0.08389774,-0.42013556,-0.0021003312,0.5633201,0.19874832,-0.10891819
