zpid,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9,pca_10,pca_11,pca_12,pca_13,pca_14,pca_15,pca_16,pca_17,pca_18,pca_19,pca_20,pca_21,pca_22,pca_23,pca_24,pca_25,pca_26,pca_27,pca_28,pca_29,pca_30,pca_31
4124541,0.37739,-0.14689335,0.018273005,0.055898756,-0.036605388,0.13459033,-1.4419327e-05,-0.016746525,-0.12022673,-0.012336533,-0.009323041,0.0052959183,0.10467393,0.013406931,0.008829698,0.00776519,0.077803954,-0.029750504,0.059254196,-0.043473545,0.04062918,-0.051645853,0.011411535,-0.029466694,-0.04308879,-0.005743555,0.04413777,0.008018767,0.02655862,0.022252044,0.014158179,-0.03630615
2060447733,0.34326723,-0.08160349,-0.07593346,-0.10320561,-0.001806357,0.09731278,-0.015808519,-0.03253164,-0.1285022,0.035074092,-0.009325588,0.035613157,0.0462831,0.109888196,0.0016394628,0.036564767,-0.0558903,0.029531213,-0.0039085997,-0.008491177,0.14193451,0.0061076307,-0.06988346,-0.010495889,-0.050506037,0.020615883,0.068000786,0.027313475,-0.06413879,-0.075789295,-0.034883942,-0.028333362
245548621,0.117642015,0.09563956,-0.079712816,-0.07568222,0.11575252,-0.014545326,-0.13280767,0.03188101,-0.039626583,-0.031532697,0.06205232,-0.035858776,-0.18757932,-0.044818338,-0.046512313,-0.082485735,-0.10488662,0.010668639,-0.0839928,-0.06823354,0.19755743,-0.02712489,0.0028859284,-0.015371926,-0.06376562,-0.043277685,-0.13494596,-0.02144107,0.036044013,-0.101299964,-0.0029075574,-0.00260708
3631765,0.022876836,0.10745009,-0.2537758,0.09402108,-0.09482379,0.09267392,-0.10495469,-0.08367127,-0.034009848,0.0054513686,-0.1305682,0.039911468,-0.10923759,-0.06370584,0.0744603,0.015874743,-0.027971115,-0.005363056,-0.1712311,0.053646635,-0.002314918,0.03323883,0.042865396,0.037599847,-0.0075692646,-0.083211765,-0.008889793,0.007271124,-0.16326036,-0.012581796,-0.06599747,0.093612604
4157424,-0.13717519,-0.23236094,0.088796765,-0.049329422,0.24115606,-0.1593185,0.03769746,0.0046714554,-0.070573755,-0.021715527,0.19323558,0.033857767,-0.03093213,0.106215924,0.09472703,-0.022055537,-0.09867054,-0.011420523,0.10630497,-0.1144126,-0.03948549,0.0718719,-0.020661585,-0.06688273,0.048174486,-0.053056773,-0.064944215,0.050422482,-0.011306334,0.006487641,0.04426522,0.0017830208
3919399,-0.13380846,-0.07467716,-0.28542075,0.017782424,0.027320772,0.20970389,-0.09493721,0.113744535,0.13058028,0.030090204,-0.13172112,-0.09941498,-0.07493143,0.009949866,0.07215573,-0.24601622,0.015280129,0.05358732,0.041722346,-0.069626234,-0.006915216,-0.069607325,-0.14466803,-0.058105633,-0.1036485,-0.029698126,-0.017672727,0.014472446,-0.0460206,0.10674349,-0.0816689,-0.07871044
3973137,-0.24521966,0.097619705,-0.027626734,-0.21307345,-0.042207718,-0.16496624,0.042535793,-0.047119867,0.0011762802,-0.042556465,0.07842204,0.06334963,0.21846263,0.043189723,0.05288667,-0.17394873,-0.11666965,0.009871458,-0.09499928,-0.08637776,-0.039725322,0.16309905,-0.009217481,0.10245343,0.0829042,-0.028109873,0.07605462,0.07566217,0.098683655,0.06452011,0.028899465,-0.07251389
3916504,0.19667575,0.12658033,0.03759473,-0.10351351,-0.15597956,-0.08101359,0.20009473,0.11262369,0.08664259,-0.011236587,0.066178486,-0.037721153,0.101642825,0.0038722772,-0.00094391516,-0.07677893,-0.07984363,-0.018781569,-0.076401025,0.0032081092,-0.0322462,0.04015173,-0.053878725,0.033296555,0.051890083,0.06661148,0.081749484,0.016059246,-0.054515295,-0.0989331,5.096652e-05,-0.020600287
3931176,-0.20891537,0.0336463,-0.072241165,-0.16119172,-0.19532256,-0.08299245,0.051984835,-0.0152149815,-0.27491912,0.044910602,-0.030629853,0.04126573,0.05781094,-0.11351384,0.064207144,-0.043304782,0.21718748,-0.057413243,-0.028994381,-0.20256393,-0.066466495,0.003997039,-0.033071708,0.13166499,0.02721722,0.019991748,0.04741035,-0.0031154766,0.12107649,-0.09788351,-0.07949315,-0.017601907
4123447,-0.4036624,-0.13945769,0.044221193,-0.0022413707,-0.19781104,0.017910037,-0.102844015,-0.12373117,-0.053374954,-0.1626708,-0.06738175,-0.074424356,0.15934221,-0.094501294,0.025487104,-0.0059626806,-0.089496985,0.08336223,0.00404997,-0.05150908,-0.06817968,-0.0895325,0.09003028,-0.014045046,0.06519416,-0.024024662,0.12451885,0.025894383,0.041806135,-0.017164765,0.084062204,-0.018142402
